mpg,cylinders,displacement,horsepower,weight,acceleration,year,origin,name
32.3,4,97.0,67.00,2065.0,17.8,81,JP,SUBARU
37.0,4,85.0,65.00,1975.0,19.4,81,JP,DATSUN 210 MPG
37.7,4,89.0,62.00,2050.0,17.3,81,JP,TOYOTA TERCEL
34.1,4,91.0,68.00,1985.0,16.0,81,JP,MAZDA GLC 4
34.7,4,105.0,63.00,2215.0,14.9,81,US,PLYMOUTH HORIZON 4
34.4,4,98.0,65.00,2045.0,16.2,81,US,FORD ESCORT 4W
29.9,4,98.0,65.00,2380.0,20.7,81,US,FORD ESCORT 2H
33.0,4,105.0,74.00,2190.0,14.2,81,EU,VOLKSWAGEN JETTA
33.7,4,107.0,75.00,2210.0,14.4,81,JP,HONDA PRELUDE
32.4,4,108.0,75.00,2350.0,16.8,81,JP,TOYOTA COROLLA
32.9,4,119.0,100.0,2615.0,14.8,81,JP,DATSUN 200SX
31.6,4,120.0,74.00,2635.0,18.3,81,JP,MAZDA 626
28.1,4,141.0,80.00,3230.0,20.4,81,EU,PEUGEOT 505S TURBO DIESEL
30.7,6,145.0,76.00,3160.0,19.6,81,EU,VOLVO DIESEL
25.4,6,168.0,116.0,2900.0,12.6,81,JP,TOYOTA CRESSIDA
24.2,6,146.0,120.0,2930.0,13.8,81,JP,DATSUN 810 MAXIMA
22.4,6,231.0,110.0,3415.0,15.8,81,US,BUICK CENTURY
26.6,8,350.0,105.0,3725.0,19.0,81,US,OLDSMOBILE CUTLASS LS
20.2,6,200.0,88.00,3060.0,17.1,81,US,FORD GRANADA GL
17.6,6,225.0,85.00,3465.0,16.6,81,US,CHRYSLER LEBARON SALON
28.0,4,112.0,88.00,2605.0,19.6,82,US,CHEVROLET CAVALIER
27.0,4,112.0,88.00,2640.0,18.6,82,US,CHEVROLET CAVALIER WAGON
34.0,4,112.0,88.00,2395.0,18.0,82,US,CHEVROLET CAVALIER 2-DOOR
31.0,4,112.0,85.00,2575.0,16.2,82,US,PONTIAC J2000 SE HATCHBACK
29.0,4,135.0,84.00,2525.0,16.0,82,US,DODGE ARIES SE
27.0,4,151.0,90.00,2735.0,18.0,82,US,PONTIAC PHOENIX
24.0,4,140.0,92.00,2865.0,16.4,82,US,FORD FAIRMONT FUTURA
36.0,4,105.0,74.00,1980.0,15.3,82,EU,VOLKSWAGEN RABBIT L
37.0,4,91.0,68.00,2025.0,18.2,82,JP,MAZDA GLC CUSTOM L
31.0,4,91.0,68.00,1970.0,17.6,82,JP,MAZDA GLC CUSTOM
38.0,4,105.0,63.00,2125.0,14.7,82,US,PLYMOUTH HORIZON MISER
36.0,4,98.0,70.00,2125.0,17.3,82,US,MERCURY LYNX L
36.0,4,120.0,88.00,2160.0,14.5,82,JP,NISSAN STANZA XE
36.0,4,107.0,75.00,2205.0,14.5,82,JP,HONDA ACCORD
34.0,4,108.0,70.00,2245.0,16.9,82,JP,TOYOTA COROLLA
38.0,4,91.0,67.00,1965.0,15.0,82,JP,HONDA CIVIC
32.0,4,91.0,67.00,1965.0,15.7,82,JP,HONDA CIVIC (AUTO)
38.0,4,91.0,67.00,1995.0,16.2,82,JP,DATSUN 310 GX
25.0,6,181.0,110.0,2945.0,16.4,82,US,BUICK CENTURY LIMITED
38.0,6,262.0,85.00,3015.0,17.0,82,US,OLDSMOBILE CUTLASS CIERA (DIESEL)
26.0,4,156.0,92.00,2585.0,14.5,82,US,CHRYSLER LEBARON MEDALLION
22.0,6,232.0,112.0,2835.0,14.7,82,US,FORD GRANADA L
32.0,4,144.0,96.00,2665.0,13.9,82,JP,TOYOTA CELICA GT
36.0,4,135.0,84.00,2370.0,13.0,82,US,DODGE CHARGER 2.2
27.0,4,151.0,90.00,2950.0,17.3,82,US,CHEVROLET CAMARO
27.0,4,140.0,86.00,2790.0,15.6,82,US,FORD MUSTANG GL
44.0,4,97.0,52.00,2130.0,24.6,82,EU,VW PICKUP
32.0,4,135.0,84.00,2295.0,11.6,82,US,DODGE RAMPAGE
28.0,4,120.0,79.00,2625.0,18.6,82,US,FORD RANGER
31.0,4,119.0,82.00,2720.0,19.4,82,US,CHEVY S-10
